LocationCode,DateTime,Power(mW)
13,2024-01-26 16:01:40,0.01
13,2024-01-26 16:02:40,0.01
13,2024-01-26 16:03:40,0.01
13,2024-01-26 16:04:40,0.01
13,2024-01-26 16:05:40,0.01
13,2024-01-26 16:06:40,0.01
13,2024-01-30 17:23:47,0.02
13,2024-01-30 17:33:12,0.02
13,2024-01-30 17:34:12,0.02
13,2024-01-30 17:35:12,0.02
13,2024-01-30 17:36:12,0.05
13,2024-01-30 17:37:12,0.02
13,2024-01-30 17:38:12,0.02
13,2024-01-30 17:39:12,0.04
13,2024-01-30 17:40:13,0.03
13,2024-01-30 17:41:13,0.01
13,2024-01-30 17:42:12,0.03
13,2024-01-30 17:43:12,0.02
13,2024-01-30 17:44:12,0.01
13,2024-01-30 17:45:12,0.02
13,2024-01-30 17:46:12,0.02
13,2024-01-30 17:47:12,0.02
13,2024-01-30 17:48:12,0.03
13,2024-01-30 17:49:57,0.04
13,2024-01-30 17:50:57,0.02
13,2024-01-30 17:51:57,0.04
13,2024-01-30 17:52:57,0.03
13,2024-01-30 17:53:57,0.04
13,2024-01-30 17:54:57,0.02
13,2024-01-30 17:55:57,0.02
13,2024-02-01 16:00:18,6.53
13,2024-02-01 16:01:18,6.74
13,2024-02-01 16:02:18,6.28
13,2024-02-01 16:03:18,5.86
13,2024-02-01 16:04:18,5.71
13,2024-02-01 16:05:18,5.64
13,2024-02-01 16:06:18,5.27
13,2024-02-01 16:07:18,5.23
13,2024-02-01 16:08:18,4.93
13,2024-02-01 16:09:18,5.06
13,2024-02-01 16:10:18,4.8
13,2024-02-01 16:11:18,4.88
13,2024-02-01 16:12:18,5.13
13,2024-02-01 16:13:18,5.18
13,2024-02-01 16:14:18,5.11
13,2024-02-01 16:15:18,4.84
13,2024-02-01 16:16:18,4.78
13,2024-02-01 16:17:18,4.35
13,2024-02-01 16:18:18,4.23
13,2024-02-01 16:19:18,4.24
13,2024-02-01 16:20:17,4.31
13,2024-02-01 16:21:17,4.35
13,2024-02-01 16:22:17,4.23
13,2024-02-01 16:23:17,4.1
13,2024-02-01 16:24:17,3.84
13,2024-02-01 16:25:17,3.74
13,2024-02-01 16:26:17,3.46
13,2024-02-01 16:27:17,3.42
13,2024-02-01 16:28:17,3.46
13,2024-02-01 16:29:17,3.44
13,2024-02-01 16:30:17,3.17
13,2024-02-01 16:31:17,3.12
