LocationCode,DateTime,Power(mW),GHI,Azimuth,Elevation,Solarinsolation,H_UVI,TEMP,H_UVI_TEMP_interaction
6,2024-05-14 16:50:00,6.29,69.67,282.03,20.8,0.44,1.0,24.3,24.54
6,2024-05-14 16:51:00,6.17,69.67,282.11,20.57,0.44,1.0,24.3,24.54
6,2024-05-14 16:52:00,7.28,69.67,282.19,20.35,0.44,1.0,24.3,24.54
6,2024-05-14 16:53:00,8.43,69.67,282.28,20.13,0.44,1.0,24.3,24.54
6,2024-05-14 16:54:00,9.2,69.67,282.36,19.91,0.44,1.0,24.3,24.54
6,2024-05-14 16:55:00,9.76,69.67,282.45,19.68,0.44,1.0,24.3,24.54
6,2024-05-14 16:56:00,10.0,69.67,282.53,19.46,0.44,1.0,24.3,24.54
6,2024-05-14 16:57:00,9.94,69.67,282.61,19.24,0.44,1.0,24.3,24.54
6,2024-05-14 16:58:00,9.2,69.67,282.7,19.02,0.44,1.0,24.3,24.54
6,2024-05-14 16:59:00,8.43,69.67,282.78,18.79,0.44,1.0,24.3,24.54
6,2024-05-14 17:00:00,6.85,59.93,282.87,18.57,0.43,0.8,24.2,19.6
6,2024-05-14 17:01:00,6.0,59.93,282.95,18.35,0.43,0.8,24.2,19.6
6,2024-05-14 17:02:00,5.22,59.93,283.04,18.13,0.43,0.8,24.2,19.6
6,2024-05-14 17:03:00,5.57,59.93,283.12,17.91,0.43,0.8,24.2,19.6
6,2024-05-14 17:04:00,6.55,59.93,283.21,17.68,0.43,0.8,24.2,19.6
6,2024-05-14 17:05:00,6.24,59.93,283.29,17.46,0.43,0.8,24.2,19.6
6,2024-05-14 17:06:00,5.78,59.93,283.38,17.24,0.43,0.8,24.2,19.6
6,2024-05-14 17:07:00,5.22,59.93,283.46,17.02,0.43,0.8,24.2,19.6
6,2024-05-14 17:08:00,4.7,59.93,283.55,16.8,0.43,0.8,24.2,19.6
6,2024-05-14 17:09:00,4.14,59.93,283.63,16.58,0.43,0.8,24.2,19.6
6,2024-05-14 17:10:00,3.72,50.65,283.72,16.36,0.38,0.6,24.0,14.64
6,2024-05-14 17:11:00,3.24,50.65,283.81,16.14,0.38,0.6,24.0,14.64
6,2024-05-14 17:12:00,2.64,50.65,283.89,15.91,0.38,0.6,24.0,14.64
6,2024-05-14 17:13:00,1.99,50.65,283.98,15.69,0.38,0.6,24.0,14.64
6,2024-05-14 17:14:00,1.42,50.65,284.07,15.47,0.38,0.6,24.0,14.64
6,2024-05-14 17:15:00,1.21,50.65,284.15,15.25,0.38,0.6,24.0,14.64
6,2024-05-14 17:16:00,1.17,50.65,284.24,15.03,0.38,0.6,24.0,14.64
6,2024-05-14 17:17:00,1.14,50.65,284.33,14.81,0.38,0.6,24.0,14.64
6,2024-05-14 17:18:00,1.03,50.65,284.41,14.59,0.38,0.6,24.0,14.64
6,2024-05-14 17:19:00,1.33,50.65,284.5,14.37,0.38,0.6,24.0,14.64
6,2024-05-14 17:20:00,1.34,41.38,284.59,14.15,0.32,0.5,24.0,12.24
6,2024-05-14 17:21:00,1.34,41.38,284.67,13.93,0.32,0.5,24.0,12.24
6,2024-05-14 17:22:00,0.99,41.38,284.76,13.71,0.32,0.5,24.0,12.24
6,2024-05-14 17:23:00,0.75,41.38,284.85,13.49,0.32,0.5,24.0,12.24
6,2024-05-14 17:24:00,0.61,41.38,284.94,13.27,0.32,0.5,24.0,12.24
6,2024-05-14 17:25:00,0.62,41.38,285.02,13.05,0.32,0.5,24.0,12.24
6,2024-05-14 17:26:00,0.75,41.38,285.11,12.83,0.32,0.5,24.0,12.24
6,2024-05-14 17:27:00,0.89,41.38,285.2,12.61,0.32,0.5,24.0,12.24
6,2024-05-14 17:28:00,0.93,41.38,285.29,12.39,0.32,0.5,24.0,12.24
6,2024-05-14 17:29:00,1.11,41.38,285.38,12.18,0.32,0.5,24.0,12.24
6,2024-05-14 17:30:00,1.2,32.1,285.47,11.96,0.27,0.4,23.9,9.8
6,2024-05-14 17:31:00,0.95,32.1,285.56,11.74,0.27,0.4,23.9,9.8
6,2024-05-14 17:32:00,0.91,32.1,285.65,11.52,0.27,0.4,23.9,9.8
