LocationCode,DateTime,Power(mW),GHI,Azimuth,Elevation,Solarinsolation,H_UVI,TEMP,H_UVI_TEMP_interaction
14,2024-02-14 15:22:00,1154.19,116.81,237.24,29.77,2.07,3.5,24.1,84.59
14,2024-02-14 15:23:00,1140.83,116.81,237.41,29.58,2.07,3.5,24.1,84.59
14,2024-02-14 15:24:00,1132.58,116.81,237.58,29.39,2.07,3.5,24.1,84.59
14,2024-02-14 15:25:00,1119.11,116.81,237.75,29.2,2.07,3.5,24.1,84.59
14,2024-02-14 15:26:00,1104.13,116.81,237.92,29.01,2.07,3.5,24.1,84.59
14,2024-02-14 15:27:00,1089.02,116.81,238.09,28.81,2.07,3.5,24.1,84.59
14,2024-02-14 15:28:00,1080.6,116.81,238.26,28.62,2.07,3.5,24.1,84.59
14,2024-02-14 15:29:00,1069.58,116.81,238.42,28.42,2.07,3.5,24.1,84.59
14,2024-02-14 15:30:00,1068.39,108.2,238.59,28.23,1.95,3.1,23.9,74.33
14,2024-02-14 15:31:00,1047.6,108.2,238.76,28.03,1.95,3.1,23.9,74.33
14,2024-02-14 15:32:00,1031.36,108.2,238.92,27.84,1.95,3.1,23.9,74.33
14,2024-02-14 15:33:00,1013.26,108.2,239.08,27.64,1.95,3.1,23.9,74.33
14,2024-02-14 15:34:00,995.33,108.2,239.25,27.45,1.95,3.1,23.9,74.33
14,2024-02-14 15:35:00,991.64,108.2,239.41,27.25,1.95,3.1,23.9,74.33
14,2024-02-14 15:36:00,969.92,108.2,239.57,27.06,1.95,3.1,23.9,74.33
14,2024-02-14 15:37:00,950.68,108.2,239.73,26.86,1.95,3.1,23.9,74.33
14,2024-02-14 15:38:00,938.33,108.2,239.89,26.66,1.95,3.1,23.9,74.33
14,2024-02-14 15:39:00,920.52,108.2,240.05,26.46,1.95,3.1,23.9,74.33
14,2024-02-14 15:40:00,904.2,98.96,240.21,26.27,1.83,2.8,24.1,67.72
14,2024-02-14 15:41:00,885.09,98.96,240.36,26.07,1.83,2.8,24.1,67.72
14,2024-02-14 15:42:00,878.36,98.96,240.52,25.87,1.83,2.8,24.1,67.72
14,2024-02-14 15:43:00,870.27,98.96,240.68,25.67,1.83,2.8,24.1,67.72
14,2024-02-14 15:44:00,853.86,98.96,240.83,25.47,1.83,2.8,24.1,67.72
14,2024-02-14 15:45:00,840.58,98.96,240.99,25.27,1.83,2.8,24.1,67.72
14,2024-02-14 15:46:00,825.82,98.96,241.14,25.07,1.83,2.8,24.1,67.72
14,2024-02-14 15:47:00,807.56,98.96,241.29,24.88,1.83,2.8,24.1,67.72
14,2024-02-14 15:48:00,778.26,98.96,241.44,24.68,1.83,2.8,24.1,67.72
14,2024-02-14 15:49:00,751.3,98.96,241.6,24.47,1.83,2.8,24.1,67.72
14,2024-02-14 15:50:00,734.08,89.73,241.75,24.27,1.72,2.4,23.8,57.36
14,2024-02-14 15:51:00,728.16,89.73,241.9,24.07,1.72,2.4,23.8,57.36
14,2024-02-14 15:52:00,717.36,89.73,242.05,23.87,1.72,2.4,23.8,57.36
14,2024-02-14 15:53:00,691.97,89.73,242.2,23.67,1.72,2.4,23.8,57.36
14,2024-02-14 15:54:00,693.6,89.73,242.34,23.47,1.72,2.4,23.8,57.36
14,2024-02-14 15:55:00,672.6,89.73,242.49,23.27,1.72,2.4,23.8,57.36
14,2024-02-14 15:56:00,654.08,89.73,242.64,23.06,1.72,2.4,23.8,57.36
14,2024-02-14 15:57:00,40.14,89.73,242.78,22.86,1.72,2.4,23.8,57.36
14,2024-02-14 15:58:00,41.3,89.73,242.93,22.66,1.72,2.4,23.8,57.36
14,2024-02-14 15:59:00,42.84,89.73,243.07,22.46,1.72,2.4,23.8,57.36
14,2024-02-14 16:00:00,76.26,80.49,243.22,22.25,1.6,2.1,23.7,50.01
14,2024-02-14 16:01:00,97.49,80.49,243.36,22.05,1.6,2.1,23.7,50.01
14,2024-02-14 16:02:00,536.78,80.49,243.5,21.85,1.6,2.1,23.7,50.01
