LocationCode,DateTime,Power(mW),H_UVI,TEMP,H_UVI_TEMP_interaction
6,2024-05-14 16:50:00,6.29,1.0,24.3,24.54
6,2024-05-14 16:51:00,6.17,1.0,24.3,24.54
6,2024-05-14 16:52:00,7.28,1.0,24.3,24.54
6,2024-05-14 16:53:00,8.43,1.0,24.3,24.54
6,2024-05-14 16:54:00,9.2,1.0,24.3,24.54
6,2024-05-14 16:55:00,9.76,1.0,24.3,24.54
6,2024-05-14 16:56:00,10.0,1.0,24.3,24.54
6,2024-05-14 16:57:00,9.94,1.0,24.3,24.54
6,2024-05-14 16:58:00,9.2,1.0,24.3,24.54
6,2024-05-14 16:59:00,8.43,1.0,24.3,24.54
6,2024-05-14 17:00:00,6.85,0.8,24.2,19.6
6,2024-05-14 17:01:00,6.0,0.8,24.2,19.6
6,2024-05-14 17:02:00,5.22,0.8,24.2,19.6
6,2024-05-14 17:03:00,5.57,0.8,24.2,19.6
6,2024-05-14 17:04:00,6.55,0.8,24.2,19.6
6,2024-05-14 17:05:00,6.24,0.8,24.2,19.6
6,2024-05-14 17:06:00,5.78,0.8,24.2,19.6
6,2024-05-14 17:07:00,5.22,0.8,24.2,19.6
6,2024-05-14 17:08:00,4.7,0.8,24.2,19.6
6,2024-05-14 17:09:00,4.14,0.8,24.2,19.6
6,2024-05-14 17:10:00,3.72,0.6,24.0,14.64
6,2024-05-14 17:11:00,3.24,0.6,24.0,14.64
6,2024-05-14 17:12:00,2.64,0.6,24.0,14.64
6,2024-05-14 17:13:00,1.99,0.6,24.0,14.64
6,2024-05-14 17:14:00,1.42,0.6,24.0,14.64
6,2024-05-14 17:15:00,1.21,0.6,24.0,14.64
6,2024-05-14 17:16:00,1.17,0.6,24.0,14.64
6,2024-05-14 17:17:00,1.14,0.6,24.0,14.64
6,2024-05-14 17:18:00,1.03,0.6,24.0,14.64
6,2024-05-14 17:19:00,1.33,0.6,24.0,14.64
6,2024-05-14 17:20:00,1.34,0.4,24.0,9.84
6,2024-05-14 17:21:00,1.34,0.4,24.0,9.84
6,2024-05-14 17:22:00,0.99,0.4,24.0,9.84
6,2024-05-14 17:23:00,0.75,0.4,24.0,9.84
6,2024-05-14 17:24:00,0.61,0.4,24.0,9.84
6,2024-05-14 17:25:00,0.62,0.4,24.0,9.84
6,2024-05-14 17:26:00,0.75,0.4,24.0,9.84
6,2024-05-14 17:27:00,0.89,0.4,24.0,9.84
6,2024-05-14 17:28:00,0.93,0.4,24.0,9.84
6,2024-05-14 17:29:00,1.11,0.4,24.0,9.84
6,2024-05-14 17:30:00,1.2,0.4,23.9,9.8
6,2024-05-14 17:31:00,0.95,0.4,23.9,9.8
6,2024-05-14 17:32:00,0.91,0.4,23.9,9.8
6,2024-05-14 17:33:00,0.97,0.4,23.9,9.8
6,2024-05-14 17:34:00,1.41,0.4,23.9,9.8
6,2024-05-14 17:35:00,1.71,0.4,23.9,9.8
6,2024-05-14 17:36:00,1.88,0.4,23.9,9.8
6,2024-05-14 17:37:00,1.63,0.4,23.9,9.8
6,2024-05-14 17:38:00,1.37,0.4,23.9,9.8
6,2024-05-14 17:39:00,1.16,0.4,23.9,9.8
6,2024-05-14 17:40:00,1.12,0.3,23.9,7.41
6,2024-05-14 17:41:00,1.14,0.3,23.9,7.41
6,2024-05-14 17:42:00,1.14,0.3,23.9,7.41
6,2024-05-14 17:43:00,1.16,0.3,23.9,7.41
6,2024-05-14 17:44:00,1.17,0.3,23.9,7.41
6,2024-05-14 17:45:00,1.12,0.3,23.9,7.41
6,2024-05-14 17:46:00,0.97,0.3,23.9,7.41
6,2024-05-14 17:47:00,0.93,0.3,23.9,7.41
6,2024-05-14 17:48:00,0.9,0.3,23.9,7.41
6,2024-05-14 17:49:00,0.79,0.3,23.9,7.41
6,2024-05-14 17:50:00,0.78,0.2,23.9,5.02
6,2024-05-14 17:51:00,0.77,0.2,23.9,5.02
6,2024-05-14 17:52:00,0.75,0.2,23.9,5.02
6,2024-05-14 17:53:00,0.62,0.2,23.9,5.02
6,2024-05-14 17:54:00,0.56,0.2,23.9,5.02
6,2024-05-14 17:55:00,0.41,0.2,23.9,5.02
6,2024-05-14 17:56:00,0.29,0.2,23.9,5.02
6,2024-05-14 17:57:00,0.25,0.2,23.9,5.02
6,2024-05-14 17:58:00,0.18,0.2,23.9,5.02
6,2024-05-14 17:59:00,0.16,0.2,23.9,5.02
6,2024-05-14 18:00:00,0.12,0.2,23.8,5.0
6,2024-05-14 18:01:00,0.09,0.2,23.8,5.0
6,2024-05-14 18:02:00,0.08,0.2,23.8,5.0
6,2024-05-14 18:03:00,0.08,0.2,23.8,5.0
6,2024-05-14 18:04:00,0.08,0.2,23.8,5.0
6,2024-05-14 18:05:00,0.08,0.2,23.8,5.0
6,2024-05-14 18:06:00,0.08,0.2,23.8,5.0
6,2024-05-14 18:07:00,0.09,0.2,23.8,5.0
6,2024-05-14 18:08:00,0.07,0.2,23.8,5.0
6,2024-05-14 18:09:00,0.07,0.2,23.8,5.0
6,2024-05-14 18:10:00,0.06,0.1,23.7,2.61
6,2024-05-14 18:11:00,0.06,0.1,23.7,2.61
6,2024-05-14 18:12:00,0.08,0.1,23.7,2.61
6,2024-05-14 18:13:00,0.08,0.1,23.7,2.61
6,2024-05-14 18:14:00,0.09,0.1,23.7,2.61
6,2024-05-14 18:15:00,0.08,0.1,23.7,2.61
6,2024-05-14 18:16:00,0.08,0.1,23.7,2.61
6,2024-05-14 18:17:00,0.08,0.1,23.7,2.61
6,2024-05-14 18:18:00,0.06,0.1,23.7,2.61
6,2024-05-14 18:19:00,0.05,0.1,23.7,2.61
6,2024-05-14 18:20:00,0.04,0.1,23.7,2.61
6,2024-05-14 18:21:00,0.04,0.1,23.7,2.61
6,2024-05-14 18:22:00,0.03,0.1,23.7,2.61
6,2024-05-14 18:23:00,0.02,0.1,23.7,2.61
6,2024-05-14 18:24:00,0.03,0.1,23.7,2.61
6,2024-05-14 18:25:00,0.02,0.1,23.7,2.61
6,2024-05-14 18:26:00,0.02,0.1,23.7,2.61
6,2024-05-14 18:27:00,0.01,0.1,23.7,2.61
6,2024-05-14 18:28:00,0.01,0.1,23.7,2.61
6,2024-05-14 18:29:00,0.01,0.1,23.7,2.61
6,2024-05-14 18:30:00,0.01,0.0,23.7,0.24
6,2024-05-14 18:31:00,0.01,0.0,23.7,0.24
6,2024-05-14 18:32:00,0.01,0.0,23.7,0.24
6,2024-05-14 18:33:00,0.01,0.0,23.7,0.24
6,2024-05-14 18:34:00,0.01,0.0,23.7,0.24
6,2024-05-14 18:35:00,0.0,0.0,23.7,0.24
6,2024-05-14 18:36:00,0.0,0.0,23.7,0.24
6,2024-05-14 18:37:00,0.0,0.0,23.7,0.24
6,2024-05-14 18:38:00,0.0,0.0,23.7,0.24
6,2024-05-14 18:39:00,0.0,0.0,23.7,0.24
6,2024-05-14 18:40:00,0.0,0.0,23.7,0.24
6,2024-05-14 18:41:00,0.0,0.0,23.7,0.24
6,2024-05-15 04:58:00,0.0,0.0,21.9,0.22
6,2024-05-15 04:59:00,0.0,0.0,21.9,0.22
6,2024-05-15 05:00:00,0.0,0.0,21.7,0.22
6,2024-05-15 05:01:00,0.0,0.0,21.7,0.22
6,2024-05-15 05:02:00,0.01,0.0,21.7,0.22
6,2024-05-15 05:03:00,0.01,0.0,21.7,0.22
6,2024-05-15 05:04:00,0.0,0.0,21.7,0.22
6,2024-05-15 05:05:00,0.01,0.0,21.7,0.22
6,2024-05-15 05:06:00,0.01,0.0,21.7,0.22
6,2024-05-15 05:07:00,0.01,0.0,21.7,0.22
6,2024-05-15 05:08:00,0.02,0.0,21.7,0.22
6,2024-05-15 05:09:00,0.03,0.0,21.7,0.22
6,2024-05-15 05:10:00,0.03,0.0,21.7,0.22
6,2024-05-15 05:11:00,0.04,0.0,21.7,0.22
6,2024-05-15 05:12:00,0.05,0.0,21.7,0.22
6,2024-05-15 05:13:00,0.04,0.0,21.7,0.22
6,2024-05-15 05:14:00,0.06,0.0,21.7,0.22
6,2024-05-15 05:15:00,0.08,0.0,21.7,0.22
6,2024-05-15 05:16:00,0.08,0.0,21.7,0.22
6,2024-05-15 05:17:00,0.1,0.0,21.7,0.22
6,2024-05-15 05:18:00,0.1,0.0,21.7,0.22
6,2024-05-15 05:19:00,0.13,0.0,21.7,0.22
6,2024-05-15 05:20:00,0.13,0.0,21.8,0.22
6,2024-05-15 05:21:00,0.19,0.0,21.8,0.22
6,2024-05-15 05:22:00,0.26,0.0,21.8,0.22
6,2024-05-15 05:23:00,0.27,0.0,21.8,0.22
6,2024-05-15 05:24:00,0.3,0.0,21.8,0.22
6,2024-05-15 05:25:00,0.37,0.0,21.8,0.22
6,2024-05-15 05:26:00,0.41,0.0,21.8,0.22
6,2024-05-15 05:27:00,0.55,0.0,21.8,0.22
6,2024-05-15 05:28:00,0.61,0.0,21.8,0.22
6,2024-05-15 05:29:00,0.73,0.0,21.8,0.22
6,2024-05-15 05:30:00,0.91,0.0,21.9,0.22
6,2024-05-15 05:31:00,0.95,0.0,21.9,0.22
6,2024-05-15 05:32:00,1.07,0.0,21.9,0.22
6,2024-05-15 05:33:00,1.12,0.0,21.9,0.22
6,2024-05-15 05:34:00,1.17,0.0,21.9,0.22
6,2024-05-15 05:35:00,1.32,0.0,21.9,0.22
6,2024-05-15 05:36:00,1.45,0.0,21.9,0.22
6,2024-05-15 05:37:00,1.71,0.0,21.9,0.22
6,2024-05-15 05:38:00,2.03,0.0,21.9,0.22
6,2024-05-15 05:39:00,2.3,0.0,21.9,0.22
6,2024-05-15 05:40:00,2.62,0.0,21.9,0.22
6,2024-05-15 05:41:00,2.66,0.0,21.9,0.22
6,2024-05-15 05:42:00,2.92,0.0,21.9,0.22
6,2024-05-15 05:43:00,3.08,0.0,21.9,0.22
6,2024-05-15 05:44:00,3.37,0.0,21.9,0.22
6,2024-05-15 05:45:00,3.44,0.0,21.9,0.22
6,2024-05-15 05:46:00,3.31,0.0,21.9,0.22
6,2024-05-15 05:47:00,3.37,0.0,21.9,0.22
6,2024-05-15 05:48:00,4.26,0.0,21.9,0.22
6,2024-05-15 05:49:00,4.75,0.0,21.9,0.22
6,2024-05-15 05:50:00,5.32,0.0,22.0,0.22
6,2024-05-15 05:51:00,6.14,0.0,22.0,0.22
6,2024-05-15 05:52:00,6.68,0.0,22.0,0.22
6,2024-05-15 05:53:00,7.36,0.0,22.0,0.22
6,2024-05-15 05:54:00,7.88,0.0,22.0,0.22
6,2024-05-15 05:55:00,8.4,0.0,22.0,0.22
6,2024-05-15 05:56:00,8.62,0.0,22.0,0.22
6,2024-05-15 05:57:00,9.7,0.0,22.0,0.22
6,2024-05-15 05:58:00,10.42,0.0,22.0,0.22
6,2024-05-15 05:59:00,10.54,0.0,22.0,0.22
6,2024-05-15 06:00:00,10.06,0.0,22.3,0.22
6,2024-05-15 06:01:00,11.26,0.0,22.3,0.22
6,2024-05-15 06:02:00,12.65,0.0,22.3,0.22
6,2024-05-15 06:03:00,13.23,0.0,22.3,0.22
6,2024-05-15 06:04:00,12.05,0.0,22.3,0.22
6,2024-05-15 06:05:00,11.46,0.0,22.3,0.22
6,2024-05-15 06:06:00,11.95,0.0,22.3,0.22
6,2024-05-15 06:07:00,10.58,0.0,22.3,0.22
6,2024-05-15 06:08:00,9.88,0.0,22.3,0.22
6,2024-05-15 06:09:00,9.76,0.0,22.3,0.22
6,2024-05-15 06:10:00,10.42,0.0,22.6,0.23
6,2024-05-15 06:11:00,11.37,0.0,22.6,0.23
6,2024-05-15 06:12:00,14.18,0.0,22.6,0.23
6,2024-05-15 06:13:00,16.82,0.0,22.6,0.23
6,2024-05-15 06:14:00,19.4,0.0,22.6,0.23
6,2024-05-15 06:15:00,19.66,0.0,22.6,0.23
6,2024-05-15 06:16:00,20.38,0.0,22.6,0.23
6,2024-05-15 06:17:00,20.78,0.0,22.6,0.23
6,2024-05-15 06:18:00,21.61,0.0,22.6,0.23
6,2024-05-15 06:19:00,22.41,0.0,22.6,0.23
6,2024-05-15 06:20:00,21.82,0.1,22.2,2.44
6,2024-05-15 06:21:00,21.47,0.1,22.2,2.44
6,2024-05-15 06:22:00,20.47,0.1,22.2,2.44
6,2024-05-15 06:23:00,19.91,0.1,22.2,2.44
6,2024-05-15 06:24:00,19.79,0.1,22.2,2.44
6,2024-05-15 06:25:00,19.45,0.1,22.2,2.44
6,2024-05-15 06:26:00,18.53,0.1,22.2,2.44
6,2024-05-15 06:27:00,18.42,0.1,22.2,2.44
6,2024-05-15 06:28:00,18.75,0.1,22.2,2.44
