LocationCode,DateTime,Power(mW),H_UVI,TEMP,H_UVI_TEMP_interaction
13,2024-01-26 16:01:00,0.01,0.2,15.7,3.3
13,2024-01-26 16:02:00,0.01,0.2,15.7,3.3
13,2024-01-26 16:03:00,0.01,0.2,15.7,3.3
13,2024-01-26 16:04:00,0.01,0.2,15.7,3.3
13,2024-01-26 16:05:00,0.01,0.2,15.7,3.3
13,2024-01-26 16:06:00,0.01,0.2,15.7,3.3
13,2024-01-30 17:23:00,0.02,0.1,22.4,2.46
13,2024-01-30 17:33:00,0.02,0.1,22.2,2.44
13,2024-01-30 17:34:00,0.02,0.1,22.2,2.44
13,2024-01-30 17:35:00,0.02,0.1,22.2,2.44
13,2024-01-30 17:36:00,0.05,0.1,22.2,2.44
13,2024-01-30 17:37:00,0.02,0.1,22.2,2.44
13,2024-01-30 17:38:00,0.02,0.1,22.2,2.44
13,2024-01-30 17:39:00,0.04,0.1,22.2,2.44
13,2024-01-30 17:40:00,0.03,0.0,21.9,0.22
13,2024-01-30 17:41:00,0.01,0.0,21.9,0.22
13,2024-01-30 17:42:00,0.03,0.0,21.9,0.22
13,2024-01-30 17:43:00,0.02,0.0,21.9,0.22
13,2024-01-30 17:44:00,0.01,0.0,21.9,0.22
13,2024-01-30 17:45:00,0.02,0.0,21.9,0.22
13,2024-01-30 17:46:00,0.02,0.0,21.9,0.22
13,2024-01-30 17:47:00,0.02,0.0,21.9,0.22
13,2024-01-30 17:48:00,0.03,0.0,21.9,0.22
13,2024-01-30 17:49:00,0.04,0.0,21.9,0.22
13,2024-01-30 17:50:00,0.02,0.0,21.7,0.22
13,2024-01-30 17:51:00,0.04,0.0,21.7,0.22
13,2024-01-30 17:52:00,0.03,0.0,21.7,0.22
13,2024-01-30 17:53:00,0.04,0.0,21.7,0.22
13,2024-01-30 17:54:00,0.02,0.0,21.7,0.22
13,2024-01-30 17:55:00,0.02,0.0,21.7,0.22
13,2024-02-01 16:00:00,6.53,0.6,24.1,14.7
13,2024-02-01 16:01:00,6.74,0.6,24.1,14.7
13,2024-02-01 16:02:00,6.28,0.6,24.1,14.7
13,2024-02-01 16:03:00,5.86,0.6,24.1,14.7
13,2024-02-01 16:04:00,5.71,0.6,24.1,14.7
13,2024-02-01 16:05:00,5.64,0.6,24.1,14.7
13,2024-02-01 16:06:00,5.27,0.6,24.1,14.7
13,2024-02-01 16:07:00,5.23,0.6,24.1,14.7
13,2024-02-01 16:08:00,4.93,0.6,24.1,14.7
13,2024-02-01 16:09:00,5.06,0.6,24.1,14.7
13,2024-02-01 16:10:00,4.8,0.5,24.0,12.24
13,2024-02-01 16:11:00,4.88,0.5,24.0,12.24
13,2024-02-01 16:12:00,5.13,0.5,24.0,12.24
13,2024-02-01 16:13:00,5.18,0.5,24.0,12.24
13,2024-02-01 16:14:00,5.11,0.5,24.0,12.24
13,2024-02-01 16:15:00,4.84,0.5,24.0,12.24
