LocationCode,DateTime,Power(mW)
15,2024-02-09 14:58:00,11.78
15,2024-02-09 14:59:00,10.32
15,2024-02-09 15:00:00,10.26
15,2024-02-09 15:01:00,11.49
15,2024-02-09 15:02:00,12.34
15,2024-02-09 15:03:00,12.45
15,2024-02-09 15:04:00,11.75
15,2024-02-09 15:05:00,11.3
15,2024-02-09 15:06:00,10.06
15,2024-02-09 15:07:00,8.88
15,2024-02-09 15:08:00,8.77
15,2024-02-09 15:09:00,9.55
15,2024-02-09 15:10:00,10.73
15,2024-02-09 15:11:00,10.2
15,2024-02-09 15:12:00,9.31
15,2024-02-09 15:13:00,8.55
15,2024-02-09 15:14:00,8.19
15,2024-02-09 15:15:00,8.26
15,2024-02-09 15:16:00,7.68
15,2024-02-09 15:17:00,6.6
15,2024-02-09 15:18:00,6.24
15,2024-02-09 15:19:00,5.98
15,2024-02-09 15:20:00,4.91
15,2024-02-09 15:21:00,3.86
15,2024-02-09 15:22:00,4.38
15,2024-02-09 15:23:00,4.9
15,2024-02-09 15:24:00,5.78
15,2024-02-09 15:25:00,5.37
15,2024-02-09 15:26:00,5.87
15,2024-02-09 15:27:00,6.24
15,2024-02-09 15:28:00,5.28
15,2024-02-09 15:29:00,3.84
15,2024-02-09 15:30:00,3.46
15,2024-02-09 15:31:00,3.94
15,2024-02-09 15:32:00,4.81
15,2024-02-09 15:33:00,5.87
15,2024-02-09 15:34:00,6.88
15,2024-02-09 15:35:00,6.38
15,2024-02-09 15:36:00,5.24
15,2024-02-09 15:37:00,4.65
15,2024-02-09 15:38:00,4.34
15,2024-02-09 15:39:00,4.26
15,2024-02-09 15:40:00,3.94
15,2024-02-09 15:41:00,4.44
15,2024-02-09 15:42:00,6.17
15,2024-02-09 15:43:00,6.34
15,2024-02-09 15:44:00,5.53
15,2024-02-09 15:45:00,5.24
15,2024-02-09 15:46:00,5.31
15,2024-02-09 15:47:00,5.41
15,2024-02-09 15:48:00,5.73
15,2024-02-09 15:49:00,6.27
15,2024-02-09 15:50:00,5.7
15,2024-02-09 15:51:00,3.84
15,2024-02-09 15:52:00,3.08
15,2024-02-09 15:53:00,2.85
15,2024-02-09 15:54:00,3.53
15,2024-02-09 15:55:00,4.32
15,2024-02-09 15:56:00,3.99
15,2024-02-09 15:57:00,3.88
15,2024-02-09 15:58:00,4.26
15,2024-02-09 15:59:00,3.86
15,2024-02-09 16:00:00,2.87
15,2024-02-09 16:01:00,2.62
15,2024-02-09 16:02:00,2.42
15,2024-02-09 16:03:00,2.68
15,2024-02-09 16:04:00,2.75
15,2024-02-09 16:05:00,3.08
15,2024-02-09 16:06:00,3.41
15,2024-02-09 16:07:00,2.84
15,2024-02-09 16:08:00,2.69
15,2024-02-09 16:09:00,2.45
15,2024-02-09 16:10:00,2.55
15,2024-02-09 16:11:00,2.72
15,2024-02-09 16:12:00,2.75
15,2024-02-09 16:13:00,2.85
15,2024-02-09 16:14:00,2.8
15,2024-02-09 16:15:00,2.46
15,2024-02-09 16:16:00,2.37
15,2024-02-09 16:17:00,2.33
15,2024-02-09 16:18:00,2.13
15,2024-02-09 16:19:00,2.04
15,2024-02-09 16:20:00,2.14
15,2024-02-09 16:21:00,2.04
15,2024-02-09 16:22:00,1.71
15,2024-02-09 16:23:00,1.21
15,2024-02-09 16:24:00,0.99
15,2024-02-09 16:25:00,0.99
