LocationCode,DateTime,Power(mW)
3,2024-03-09 14:06:00,12.28
3,2024-03-09 14:07:00,16.26
3,2024-03-09 14:08:00,18.32
3,2024-03-09 14:09:00,16.49
3,2024-03-09 14:10:00,14.88
3,2024-03-09 14:11:00,16.57
3,2024-03-09 14:12:00,22.32
3,2024-03-09 14:13:00,30.05
3,2024-03-09 14:14:00,31.41
3,2024-03-09 14:15:00,29.1
3,2024-03-09 14:16:00,29.06
3,2024-03-09 14:17:00,31.05
3,2024-03-09 14:18:00,28.7
3,2024-03-09 14:19:00,33.87
3,2024-03-09 14:20:00,35.2
3,2024-03-09 14:21:00,33.65
3,2024-03-09 14:22:00,30.89
3,2024-03-09 14:23:00,29.06
3,2024-03-09 14:24:00,27.73
3,2024-03-09 14:25:00,27.73
3,2024-03-09 14:26:00,28.7
3,2024-03-09 14:27:00,25.29
3,2024-03-09 14:28:00,25.66
3,2024-03-09 14:29:00,24.16
3,2024-03-09 14:30:00,22.35
3,2024-03-09 14:31:00,21.29
3,2024-03-09 14:32:00,23.31
3,2024-03-09 14:33:00,27.83
3,2024-03-09 14:34:00,31.16
3,2024-03-09 14:35:00,29.95
3,2024-03-09 14:36:00,22.26
3,2024-03-09 14:37:00,17.32
3,2024-03-09 14:38:00,15.54
3,2024-03-09 14:39:00,15.76
3,2024-03-09 14:40:00,16.64
3,2024-03-09 14:41:00,17.39
3,2024-03-09 14:42:00,17.36
3,2024-03-09 14:43:00,18.0
3,2024-03-09 14:44:00,20.33
3,2024-03-09 14:45:00,23.27
3,2024-03-09 14:46:00,26.75
3,2024-03-09 14:47:00,26.4
3,2024-03-09 14:48:00,28.9
3,2024-03-09 14:49:00,24.62
3,2024-03-09 14:50:00,18.56
3,2024-03-09 14:51:00,16.77
3,2024-03-09 14:52:00,16.61
3,2024-03-09 14:53:00,19.35
3,2024-03-09 14:54:00,25.38
3,2024-03-09 14:55:00,26.59
3,2024-03-09 14:56:00,29.74
3,2024-03-09 14:57:00,28.96
3,2024-03-09 14:58:00,31.26
3,2024-03-09 14:59:00,22.09
3,2024-03-09 15:00:00,17.55
3,2024-03-09 15:01:00,13.9
3,2024-03-09 15:02:00,12.34
3,2024-03-09 15:03:00,12.28
3,2024-03-09 15:04:00,12.25
3,2024-03-09 15:05:00,11.56
3,2024-03-09 15:06:00,10.3
3,2024-03-09 15:07:00,9.05
3,2024-03-09 15:08:00,8.74
3,2024-03-09 15:09:00,8.71
3,2024-03-09 15:10:00,9.4
3,2024-03-09 15:11:00,10.2
3,2024-03-09 15:12:00,10.42
3,2024-03-09 15:13:00,10.36
3,2024-03-09 15:14:00,10.2
3,2024-03-09 15:15:00,10.08
3,2024-03-09 15:16:00,10.42
3,2024-03-09 15:17:00,11.62
3,2024-03-09 15:18:00,13.3
3,2024-03-09 15:19:00,14.88
3,2024-03-09 15:20:00,16.64
3,2024-03-09 15:21:00,18.13
3,2024-03-09 15:22:00,18.48
3,2024-03-09 15:23:00,19.32
3,2024-03-09 15:24:00,18.53
3,2024-03-09 15:25:00,18.32
3,2024-03-09 15:26:00,19.24
3,2024-03-09 15:27:00,26.69
3,2024-03-09 15:28:00,37.69
3,2024-03-09 15:29:00,39.05
3,2024-03-09 15:30:00,29.78
3,2024-03-09 15:31:00,26.27
3,2024-03-09 15:32:00,24.71
3,2024-03-09 15:33:00,25.44
3,2024-03-09 15:34:00,29.06
3,2024-03-09 15:35:00,35.05
3,2024-03-09 15:36:00,39.05
3,2024-03-09 15:37:00,39.09
3,2024-03-09 15:38:00,36.24
3,2024-03-09 15:39:00,26.36
3,2024-03-09 15:40:00,16.46
3,2024-03-09 15:41:00,14.0
3,2024-03-09 15:42:00,15.61
3,2024-03-09 15:43:00,19.99
3,2024-03-09 15:44:00,25.53
3,2024-03-09 15:45:00,26.94
3,2024-03-09 15:46:00,21.21
3,2024-03-09 15:47:00,12.99
3,2024-03-09 15:48:00,10.26
3,2024-03-09 15:49:00,10.95
3,2024-03-09 15:50:00,13.12
3,2024-03-09 15:51:00,15.51
3,2024-03-09 15:52:00,21.21
3,2024-03-09 15:53:00,26.84
3,2024-03-09 15:54:00,31.3
3,2024-03-09 15:55:00,31.37
3,2024-03-09 15:56:00,26.69
3,2024-03-09 15:57:00,24.2
3,2024-03-09 15:58:00,22.09
3,2024-03-09 15:59:00,21.16
3,2024-03-09 16:00:00,20.24
3,2024-03-09 16:01:00,19.99
3,2024-03-09 16:02:00,18.45
3,2024-03-09 16:03:00,16.54
3,2024-03-09 16:04:00,14.62
3,2024-03-09 16:05:00,13.33
3,2024-03-09 16:06:00,12.82
3,2024-03-09 16:07:00,13.3
3,2024-03-09 16:08:00,14.54
3,2024-03-09 16:09:00,13.93
3,2024-03-09 16:10:00,16.49
3,2024-03-09 16:11:00,16.69
3,2024-03-09 16:12:00,18.24
3,2024-03-09 16:13:00,16.64
3,2024-03-09 16:14:00,12.92
3,2024-03-09 16:15:00,10.2
3,2024-03-09 16:16:00,7.57
3,2024-03-09 16:17:00,7.49
3,2024-03-09 16:18:00,10.7
3,2024-03-09 16:19:00,14.04
3,2024-03-09 16:20:00,18.21
3,2024-03-09 16:21:00,17.24
3,2024-03-09 16:22:00,17.32
3,2024-03-09 16:23:00,17.67
3,2024-03-09 16:24:00,15.95
3,2024-03-09 16:25:00,13.9
3,2024-03-09 16:26:00,10.7
3,2024-03-09 16:27:00,7.62
3,2024-03-09 16:28:00,7.1
3,2024-03-09 16:29:00,6.58
3,2024-03-09 16:30:00,5.26
3,2024-03-09 16:31:00,4.38
3,2024-03-09 16:32:00,4.87
3,2024-03-09 16:33:00,5.39
3,2024-03-09 16:34:00,4.34
3,2024-03-09 16:35:00,3.16
3,2024-03-09 16:36:00,2.78
3,2024-03-09 16:37:00,3.18
3,2024-03-09 16:38:00,3.08
3,2024-03-09 16:39:00,2.82
3,2024-03-09 16:40:00,2.21
3,2024-03-09 16:41:00,2.13
3,2024-03-09 16:42:00,2.12
3,2024-03-09 16:43:00,1.79
3,2024-03-09 16:44:00,1.5
3,2024-03-09 16:45:00,1.49
3,2024-03-09 16:46:00,1.69
3,2024-03-09 16:47:00,1.74
3,2024-03-09 16:48:00,1.55
3,2024-03-09 16:49:00,1.44
3,2024-03-09 16:50:00,1.07
3,2024-03-09 16:51:00,1.03
3,2024-03-09 16:52:00,1.0
3,2024-03-09 16:53:00,0.95
3,2024-03-09 16:54:00,0.77
3,2024-03-09 16:55:00,0.61
3,2024-03-09 16:56:00,0.56
3,2024-03-09 16:57:00,0.57
3,2024-03-09 16:58:00,0.47
3,2024-03-09 16:59:00,0.43
3,2024-03-09 17:00:00,0.36
3,2024-03-09 17:01:00,0.43
3,2024-03-09 17:02:00,0.48
3,2024-03-09 17:03:00,0.59
3,2024-03-09 17:04:00,0.6
3,2024-03-09 17:05:00,0.63
3,2024-03-09 17:06:00,0.62
3,2024-03-09 17:07:00,0.63
